raw_name,count,last_seen,sample_registrant
n/a,289,2025-06-05,"DOUCET CONSULTING SOLUTIONS, LLC"
None,90,2025-01-17,MORRISON PUBLIC AFFAIRS GROUP
DSCC,65,2025-05-13,"MEHLMAN CONSULTING, INC."
Senator Bob Casey,47,2024-01-09,AKIN GUMP STRAUSS HAUER & FELD
NRCC,43,2025-02-03,AKIN GUMP STRAUSS HAUER & FELD
Larry Hogan,38,2024-04-08,PRIME POLICY GROUP
Greg Sablan,36,2022-03-04,JOCELYN HONG & ASSOCIATES
DCCC,36,2026-01-20,AMERICAN SPEECH-LANGUAGE-HEARING ASSOCIATION
Nikki Haley,35,2024-01-20,UPTOWN STRATEGIES INC. (FKA UPTOWN SOLUTIONS LLC)
Gabe Amo,34,2025-02-19,HYUNDAI MOTOR COMPANY
Ritchie Torres,33,2026-02-04,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK
Democratic Congressional Campaign Committee,32,2025-01-22,FORBES-TATE
Elect Democratic Women,30,2025-02-10,"REPUBLIC CONSULTING, LLC"
Joe Biden,30,2024-06-16,"CAREQUEST INSTITUTE FOR ORAL HEALTH, INC."
Rep. Jason Smith (MO),29,2026-03-18,NATIONAL TRUST COMMUNITY INVESTMENT CORPORATION
National Republican Congressional Committee,27,2025-01-28,KYNDRYL INC
Luke Holland,26,2022-03-22,"O'KEEFFE STRATEGIES, LLC"
Josh Riley,25,2025-03-18,"SPECIAL OLYMPICS, INC."
American Association of Airport Executives Good Government Committee PAC,24,2025-06-16,AMERICAN ASSOCIATION OF AIRPORT EXECUTIVES
AFGE PAC,24,2025-06-30,"AMERICAN FED OF GOVERNMENT EMPLOYEES, AFL-CIO"
Robert Garcia,23,2025-02-24,THE CIGNA GROUP AND SUBSIDIARIES (FORMERLY CIGNA CORPORATION AND SUBSIDIARIES)
Rep. French Hill (AK),22,2025-03-25,"PAYPAL, INC."
Blake Moore,22,2025-01-23,"CAPITOL CONNECTIONS, LLC"
Equality PAC,22,2025-01-10,THOMPSON COBURN LLP
Andrea Salinas,21,2022-04-10,"AUTODESK, INC"
National Republican Senatorial Committee (NRSC),20,2025-01-13,FORBES-TATE
Rep Tony Gonzales (R-TX),20,2025-06-10,"ALTRIUS GROUP, LLC"
Ed Case,20,2024-02-05,JOCELYN HONG & ASSOCIATES
Rep. Ken Calvert (R-CA),19,2025-01-16,SQUIRE PATTON BOGGS
Various Republican Senatorial Candidates,19,2025-01-05,"MARSHALL & POPP, LLC"
Representative Adam Smith,19,2025-04-03,CAPITOL HILL CONSULTING GROUP
Steny Hoyer,18,2025-02-05,"AVOQ, LLC"
The Honorable Diana Harshbarger,18,2023-03-08,THORN RUN PARTNERS
Diana DeGette,18,2025-05-06,"LEAVITT PARTNERS, LLC"
CHC Bold PAC,18,2025-01-24,"NISOURCE, INC"
Nicole Malliotakis,18,2025-01-07,THE DLM GROUP
Rep. Gerald E. Connolly,18,2022-03-21,WALKINSHAW STRATEGIES LLC
Rep Tom Cole (R),17,2025-01-08,"ASTELLAS PHARMA US, INC."
The Honorable Carol Miller,17,2024-05-15,VENN STRATEGIES
Zoe Cadore,17,2025-05-05,NEWS CORPORATION
Rep. Kelly Armstrong,17,2023-06-12,AMERICAN PHARMACISTS ASSOCIATION
April McClain Delaney,17,2024-02-01,SQUIRE PATTON BOGGS
Congressman Sam Graves (R-MO),16,2025-02-20,BNSF RAILWAY COMPANY
Melanie Stansbury,16,2025-02-28,"MEHLMAN CONSULTING, INC."
U.S. Representative Shontel Brown,16,2025-04-17,"SAP AMERICA, INC."
Brett Guthrie (Guthrie for Congress),15,2025-03-04,"AIR-CONDITIONING, HEATING, AND REFRIGERATION INSTITUTE"
Rep. Buddy Carter (GA-01),15,2025-02-25,AMERICAN ASSOCIATION OF NEUROLOGICAL SURGEONS
Congressman Henry Cuellar,15,2024-02-01,FEDERAL SCIENCE PARTNERS LLC
Representative Donald Norcross,15,2024-05-03,"L3HARRIS TECHNOLOGIES, INC."
Kevin Kiley,15,2025-03-16,BAYER CORPORATION (CONSOLIDATED REPORT)
Rep. Mike Lawler,15,2025-03-11,"ROBINHOOD MARKETS, INC."
NRSC (National Republican Senatorial Committee),14,2025-05-19,CAPITOL COUNSEL LLC
U.S. Senator Jon Tester (D-MT),14,2024-01-05,VISA INC.
Congresswoman Katherine Clark,14,2025-06-23,"PUBLIC STRATEGIES WASHINGTON, INC."
Across the Aisle PAC,14,2024-01-10,BUILDING OWNERS AND MANAGERS ASSOCIATION INTERNATIONAL
Rep. Claudia Tenney,14,2025-01-14,"ELEVANCE HEALTH, INC."
Byron Donalds,14,2023-01-12,JOCELYN HONG & ASSOCIATES
Nanette Barragan,14,2025-03-15,SALINAS STRATEGIES LLC
Rep. Yvette Clarke,14,2025-03-13,BLUEBIRD STRATEGIES
Congressman Mike Flood,14,2026-01-13,"THE SMITH-FREE GROUP, LLC"
Congressman Rick Crawford,14,2024-01-10,VENN STRATEGIES
US Representative Cathy McMorris Rodgers,13,2024-01-10,FORBES-TATE
Congressman Mike Carey,13,2025-01-14,"AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS"
Congressman Scott Fitzgerald,13,2025-01-13,CMFG LIFE INSURANCE COMPANY
Rep. Jimmy Gomez,13,2025-03-20,UPS (UNITED PARCEL SERVICE)
Gabe Vasquez,13,2025-02-25,FOLEY HOAG LLP
Speaker Mike Johnson,13,2025-03-28,"CORNERSTONE GOVERNMENT AFFAIRS, INC."
Sen. Jim Risch,13,2025-05-06,"NEALE CREEK, LLC"
Congressman Adrian Smith,13,2026-03-12,S-3 GROUP
Rep. Pete Aguilar (D-CA),12,2025-02-25,"KAE STRATEGIC, LLC"
Congressman Mike Simpson,12,2025-02-17,"VERITAS ADVISORS, LLP"
Rep. Rick Larsen (D-WA),12,2025-06-27,"ELEVATE GOVERNMENT AFFAIRS, LLC"
Rep. Rob Wittman (VA-1),12,2025-04-02,HUNTINGTON INGALLS INDUSTRIES INCORPORATED
Friends of Rosa DeLauro,12,2025-04-22,"HEALTH AND MEDICINE COUNSEL, LLC"
Rep. Frank Pallone (NJ-06),12,2024-01-24,CAPITOL COUNSEL LLC
New Democrat Coalition Action Fund,12,2023-02-22,BUCHANAN INGERSOLL & ROONEY PC
Rep. Zoe Lofgren,12,2025-06-25,SALT POINT STRATEGIES
Hillary Scholten,12,2024-02-26,CONRAD LAW & POLICY COUNSEL
Ron DeSantis,12,2023-05-25,"DELEK US HOLDINGS, INC."
Josh Gottheimer,12,2024-04-24,WASHINGTON STRATEGIC CONSULTING
Tracey Mann,12,2025-02-26,KANSAS FARM BUREAU
James Walkinshaw,12,2025-06-04,CAPITAL ONE FINANCIAL CORPORATION
Sen. Mitt Romney,12,2023-01-31,"EDWARDS LIFESCIENCES, LLC"
Rep. Ben Cline,12,2025-06-18,FARRAGUT PARTNERS LLP
Senator Moran,12,2023-05-10,THORN RUN PARTNERS
Rep. Richard Neal (D-MA),11,2025-01-28,AKIN GUMP STRAUSS HAUER & FELD
Representative Mike Rogers (R-AL),11,2025-06-17,THE ROOSEVELT GROUP
Congresswoman Lori Trahan,11,2024-01-22,MASSACHUSETTS BIOTECHNOLOGY COUNCIL
Friends of Michael Guest,11,2025-02-04,MARK REY
Congressman Dave Joyce,11,2025-06-23,PASSAGE CONSULTING GROUP LLC
Congresswoman Marcy Kaptur,11,2024-06-18,NATIONAL AUTOMOBILE DEALERS ASSOCIATION
Robert J. Menendez,11,2022-02-10,REWORLD WASTE LLC
Joe Morelle,11,2025-03-20,"NATIONAL GROUP, LLP"
Fair Shot PAC,11,2023-03-20,MS. ALEXIS TKACHUK
Christina Gagnier,11,2025-02-19,"BLACKROCK FUNDS SERVICES GROUP, LLC"
DSCC Women's Senate Network,11,2026-02-13,ELI LILLY AND COMPANY
Democratic Senatorial Campaign Committee (Women's Senate Network),10,2025-02-20,EXACT SCIENCES
Congressman Jodey Arrington,10,2024-06-27,"ZIEBART CONSULTING, LLC"
Congresswoman Ashley Hinson,10,2025-01-20,ALSTON & BIRD LLP
Congressman Mario Diaz-Balart,10,2025-01-05,CAPITOL INTEGRATION
Cong. Glenn Thompson,10,2025-02-14,"TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)"
Nancy Pelosi,10,2022-06-07,FEDERAL MANAGERS ASSOCIATION
Adelita Grijalva,10,2025-04-17,MIRSONIA GROUP
Marco Rubio,10,2024-01-03,PETER TOMPA LAW
Congressman Mike Thompson,10,2025-06-16,"K&L GATES, LLP"
Kristen McDonald Rivet,10,2025-03-10,COREWELL HEALTH
Paul Tonko,10,2024-03-06,ALZHEIMER'S ASSOCIATION
ITI PAC,10,2025-06-27,INFORMATION TECHNOLOGY INDUSTRY COUNCIL
Rep. Thomas Massie,10,2024-03-05,"THE SMITH-FREE GROUP, LLC"
Rep. Roger Williams,10,2024-06-24,COZEN O'CONNOR PUBLIC STRATEGIES
Donald J. Trump,10,2024-06-26,"VIZIENT, INC."
Carolyn Maloney,10,2022-03-16,THE ROYER LAW FIRM (FORMERLY ROYER & BROOKS)
Morgan Luttrell,10,2025-03-04,THE DLM GROUP
Marie Gluesenkamp Perez,10,2024-06-26,THE NARDELLI GROUP
Congressman Trent Kelly (MS),10,2025-02-11,"EMANUEL & ASSOCIATES, INC. (FKA ADAM EMANUEL)"
Nikki Haley for President,10,2024-01-19,MONUMENT ADVOCACY
Matt Castelli,10,2022-01-08,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK
Hon. Bruce Poliquin,10,2022-02-01,MICHAEL BEST STRATEGIES LLC
Honorable Bob Latta,10,2025-02-05,LUNDBECK LLC
Hobbs Straus Sovereignty Defense PAC,10,2023-01-31,"HOBBS, STRAUS, DEAN & WALKER, LLP"
Rep. Angie Craig (D-MN-2),9,2025-05-15,NATIONAL SUSTAINABLE AGRICULTURE COALITION
Congressman Patrick McHenry,9,2024-06-11,"MILLER STRATEGIES, LLC"
Congresswoman Betty McCollum,9,2025-03-03,PRIMACY STRATEGY GROUP
Congressman Cliff Bentz,9,2025-03-10,"ROBERTSON, MONAGLE, & EASTAUGH LLC (FKA ROBERTSON, MONAGLE & EASTAUGH PC)"
Cong. Gus Bilirakis,9,2025-05-15,MEDICAL PROFESSIONAL LIABILITY ASSOCIATION
