senator_id,fec_candidate_id,cycle,pac_contributions,party_contributions,individual_contributions,total_receipts
maria-cantwell,S8WA00194,2022,0,0,517069.96,921937.29
maria-cantwell,S8WA00194,2024,76800,0,9014093.63,11147595.82
maria-cantwell,S8WA00194,2026,0,0,304841.73,671716.74
amy-klobuchar,S6MN00267,2022,191725,0,1751969.14,3758119.42
amy-klobuchar,S6MN00267,2024,1155708,0,5684804.12,14734556.75
amy-klobuchar,S6MN00267,2026,159000,0,875993.15,2515566.99
bernie-sanders,S4VT00033,2022,0,0,4676574.18,15283176.18
bernie-sanders,S4VT00033,2024,89133.06,0,3401434.65,8207886.33
bernie-sanders,S4VT00033,2026,27,0,5725984.18,23468953.69
sheldon-whitehouse,S6RI00221,2022,156930,0,1454819.48,1612622.08
sheldon-whitehouse,S6RI00221,2024,738285,0,2700712.67,4859870.01
sheldon-whitehouse,S6RI00221,2026,38440,0,388382.11,431343.76
john-barrasso,S6WY00068,2022,614175,0,621091.02,1881044.42
john-barrasso,S6WY00068,2024,2725370,0,3311645.92,7761388.01
john-barrasso,S6WY00068,2026,283749.33,0,298221.55,1303850.9
roger-wicker,S8MS00196,2022,564425,0,958921,1826343.95
roger-wicker,S8MS00196,2024,2282995,0,3587422.82,7420578.92
roger-wicker,S8MS00196,2026,101000,0,62000,193613.35
susan-collins,S6ME00159,2022,228500,0,629838.98,1136249.1
susan-collins,S6ME00159,2024,321919.25,0,909147.71,1624001.46
susan-collins,S6ME00159,2026,985550,62000,6351137.84,12165045.76
john-cornyn,S2TX00106,2022,399550,0,1098104.68,2279853.33
john-cornyn,S2TX00106,2024,595022.42,0,1195827.4,3377426.45
john-cornyn,S2TX00106,2026,1341256.99,62000,3200328.91,7917429.02
richard-durbin,S6IL00151,2022,188250,0,390930.11,1190534.22
richard-durbin,S6IL00151,2024,168775,0,303030.12,1106383.69
richard-durbin,S6IL00151,2026,7000,0,21371.81,79857.6
lindsey-graham,S0SC00149,2022,102479.71,0,3367600.73,10224566.87
lindsey-graham,S0SC00149,2024,222810,0,1753226.29,4534983.47
lindsey-graham,S0SC00149,2026,603973.68,62000,1159080.87,6157140.81
mitch-mcconnell,S2KY00012,2022,480440,0,3954958.66,6500148.92
mitch-mcconnell,S2KY00012,2024,265112.37,0,670521.85,1203839.87
mitch-mcconnell,S2KY00012,2026,15000,0,17200.82,174224.95
jeff-merkley,S8OR00207,2022,13500,0,757715.62,1844039.33
jeff-merkley,S8OR00207,2024,41225,0,699438.6,1508836.04
jeff-merkley,S8OR00207,2026,402500,0,2147915.38,3944598.07
jack-reed,S6RI00163,2022,183135.38,0,320041,521242.54
jack-reed,S6RI00163,2024,163900,0,321615,566041.68
jack-reed,S6RI00163,2026,883300,0,1615376.55,2602598.5
james-risch,S8ID00092,2022,147500,0,136721,441336.61
james-risch,S8ID00092,2024,220000,0,268344.17,632240.45
james-risch,S8ID00092,2026,746129,62000,1740770.61,2864280.24
jeanne-shaheen,S0NH00219,2022,226750,250,568522.41,1304437.39
jeanne-shaheen,S0NH00219,2024,303375,0,751020.63,1190933.63
jeanne-shaheen,S0NH00219,2026,54526.58,0,90308.73,170979.14
mark-warner,S6VA00093,2022,544600,0,1848827.09,3004374
mark-warner,S6VA00093,2024,710700,0,1979200.03,4266868.81
mark-warner,S6VA00093,2026,1778150,0,5140028.79,14719667.27
kirsten-gillibrand,S0NY00410,2022,144250,0,1871066.47,4156067.42
kirsten-gillibrand,S0NY00410,2024,734947.67,0,3331132.71,9798986.57
kirsten-gillibrand,S0NY00410,2026,135193.49,0,552509,2198878.25
christopher-coons,S0DE00092,2022,302200,0,599459.84,979328.91
christopher-coons,S0DE00092,2024,536200,0,999738.64,1749727.9
christopher-coons,S0DE00092,2026,1038750,0,1488366.16,3044649.37
tammy-baldwin,S2WI00219,2022,382941.96,0,2407758.17,4665894.23
tammy-baldwin,S2WI00219,2024,2607543.73,62425.82,27826022.65,50228545.14
tammy-baldwin,S2WI00219,2026,94264,0,968376.69,2354257.76
michael-bennet,S0CO00211,2022,1296659.25,1000,12058580.1,20720493.62
michael-bennet,S0CO00211,2024,58596.92,0,557939.79,1181527.92
michael-bennet,S0CO00211,2026,18500,0,87945.56,207237.02
marsha-blackburn,S8TN00337,2022,443552.05,0,432718.74,3200121.82
marsha-blackburn,S8TN00337,2024,2143308.88,0,3275692.83,13571274.34
marsha-blackburn,S8TN00337,2026,123500,0,177600.45,2753251.3
richard-blumenthal,S0CT00177,2022,1299022.89,0,3440530.15,7272349.12
richard-blumenthal,S0CT00177,2024,73054.24,0,88765.5,398539.31
richard-blumenthal,S0CT00177,2026,41000,0,124443.5,350712.06
john-boozman,S0AR00150,2022,2768717.33,54700,3058152.66,6769987.02
john-boozman,S0AR00150,2024,440900,0,167176.5,726859.47
john-boozman,S0AR00150,2026,205000,0,96250,359638.54
shelley-capito,S4WV00159,2022,511900.96,0,319985,862872.33
shelley-capito,S4WV00159,2024,572700,0,289711,1001825.11
shelley-capito,S4WV00159,2026,1374256.47,62000,2112169.71,3906185.63
bill-cassidy,S4LA00107,2022,477591.81,0,1339952.48,2537358.39
bill-cassidy,S4LA00107,2024,1051618.67,0,1425764.44,4060477.24
bill-cassidy,S4LA00107,2026,1652409.52,62000,2378769.19,6727955.97
mike-crapo,S8ID00027,2022,1956902.73,500,1382394.57,4821698.11
mike-crapo,S8ID00027,2024,525025,0,298337.58,1131919.91
mike-crapo,S8ID00027,2026,386500,0,240327.02,1047393.27
chuck-grassley,S0IA00028,2022,2300871.59,51200,3512690.75,9533640.63
chuck-grassley,S0IA00028,2024,109000,0,220762.52,770100.5
chuck-grassley,S0IA00028,2026,37500,0,89297.68,208905.54
martin-heinrich,S2NM00088,2022,576200,0,958758.85,1818160.68
martin-heinrich,S2NM00088,2024,2004501.1,57800,6665236.81,10731410.2
martin-heinrich,S2NM00088,2026,341421.39,0,625939.95,1211120.87
mazie-hirono,S2HI00106,2022,198400,0,553935.07,957488.76
mazie-hirono,S2HI00106,2024,1085368.53,0,1560596.17,3292048.88
mazie-hirono,S2HI00106,2026,32500,0,269137.12,486874.86
john-hoeven,S0ND00093,2022,1362981.66,5000,1097241,3320462.86
john-hoeven,S0ND00093,2024,213550,2020,191690,530749.5
john-hoeven,S0ND00093,2026,145600,0,149900,335530.53
ron-johnson,S0WI00197,2022,1212329.49,60000,17176659.11,34920572.47
ron-johnson,S0WI00197,2024,36000,0,3577929.09,5374239.35
ron-johnson,S0WI00197,2026,32000,0,638485.96,974410.87
james-lankford,S4OK00232,2022,1759652.02,53700,3033009.6,5868351.84
james-lankford,S4OK00232,2024,351050,0,350428.73,913857.67
james-lankford,S4OK00232,2026,267500,0,285370.51,788822.95
mike-lee,S0UT00165,2022,1831436.45,0,5087432.67,10885232.67
mike-lee,S0UT00165,2024,85250,0,1924055.72,5138473.2
mike-lee,S0UT00165,2026,207000,0,1022650.52,2047902.2
ben-luj-n,S0NM00058,2022,152794.1,0,760571.58,1286092.74
ben-luj-n,S0NM00058,2024,267540,0,812375.14,1364756.27
ben-luj-n,S0NM00058,2026,1445346.09,0,1477796.11,5019139.91
ed-markey,S4MA00028,2022,42000,0,620820.72,1149898.84
ed-markey,S4MA00028,2024,97500,0,765407.98,1549922.8
ed-markey,S4MA00028,2026,483100,0,1036757.95,3804689.34
jerry-moran,S0KS00091,2022,2059849.65,0,1361079.28,5531189.35
jerry-moran,S0KS00091,2024,499850,0,175626,1805895.59
jerry-moran,S0KS00091,2026,285450,0,173124,990634.22
lisa-murkowski,S4AK00099,2022,2626699.99,51200,5427624.89,9319257.3
lisa-murkowski,S4AK00099,2024,276800,0,327791,689240.76
lisa-murkowski,S4AK00099,2026,279300,0,712491.47,1073320.2
christopher-murphy,S2CT00132,2022,5000,0,760204.64,861276.38
christopher-murphy,S2CT00132,2024,54025,0,8565200.2,12786118.05
christopher-murphy,S2CT00132,2026,0,0,3749109.33,12504647.66
patty-murray,S2WA00189,2022,2538643.58,51238,8154376.77,16112355.03
patty-murray,S2WA00189,2024,284000,0,941375.87,2095534.09
patty-murray,S2WA00189,2026,215700.01,0,1313094.08,2232288.58
rand-paul,S0KY00156,2022,743633.33,8308.88,9368550.52,25042402.65
rand-paul,S0KY00156,2024,97900,0,3365118.27,8490873.16
rand-paul,S0KY00156,2026,85546.15,0,1940165.44,3312762.54
gary-peters,S4MI00355,2022,557820.41,0,1728343.84,4349233.84
gary-peters,S4MI00355,2024,880508.73,0,1527492.43,3241786.33
gary-peters,S4MI00355,2026,9500,0,13265.01,201476.25
adam-schiff,S4CA00555,2024,1015453.06,250,26283165.21,48149196.78
adam-schiff,S4CA00555,2026,62501,0,2359692.48,7793490.82
chuck-schumer,S8NY00082,2022,2961915.35,0,30814511.94,37885457.97
chuck-schumer,S8NY00082,2024,202800,0,945643.39,2790888.71
chuck-schumer,S8NY00082,2026,82375,0,311308.68,800587.42
tim-scott,S4SC00240,2022,3012578.02,0,22424653.27,43127151.37
tim-scott,S4SC00240,2024,730400,0,9650686.05,18856383.18
tim-scott,S4SC00240,2026,153300,0,2292391.25,4407149.25
john-thune,S2SD00068,2022,2832833.33,0,3364636.56,7547602.66
john-thune,S2SD00068,2024,555700,0,1100962.75,4163983.31
john-thune,S2SD00068,2026,656000,0,879045.25,3459924.82
chris-van-hollen,S6MD03441,2022,1488642.35,0,3802309.56,6615217.92
chris-van-hollen,S6MD03441,2024,44000,0,193498.5,330578.51
chris-van-hollen,S6MD03441,2026,68250,0,1089415.46,1515661.04
peter-welch,S2VT00235,2022,951042.67,52833.32,1903633.37,5390836.54
peter-welch,S2VT00235,2024,43110,0,59402.55,330882.07
peter-welch,S2VT00235,2026,23000,0,30540.67,153598.18
ron-wyden,S6OR00110,2022,2682168.04,0,6390622.53,10512321.06
ron-wyden,S6OR00110,2024,309350,0,392938.97,1533627.54
ron-wyden,S6OR00110,2026,221500,0,401397.83,1199347.07
todd-young,S6IN00191,2022,2565583.22,1090.64,4982363.42,10976445.53
todd-young,S6IN00191,2024,330350,0,576453.5,1754997.99
todd-young,S6IN00191,2026,492510,0,936839.38,3599267.98
brian-schatz,S4HI00136,2022,1227525.68,0,1042187.87,2507733.56
brian-schatz,S4HI00136,2024,127100,0,285122.8,525033.39
brian-schatz,S4HI00136,2026,261047.21,0,783332.12,1185717.89
tom-cotton,S4AR00103,2022,122000,0,1474872.13,4878968.62
tom-cotton,S4AR00103,2024,181500,0,942455.19,2488964.09
tom-cotton,S4AR00103,2026,1010500,62000,2268061.28,5406039.51
tammy-duckworth,S6IL00292,2022,1558901,0,6028917.29,14799221.88
tammy-duckworth,S6IL00292,2024,260703.03,0,1437064.22,4571747.48
tammy-duckworth,S6IL00292,2026,97800,0,1319013.06,4300519.14
elizabeth-warren,S2MA00170,2022,8000,0,2596914.19,5423023.99
elizabeth-warren,S2MA00170,2024,59800,0,4100299.53,9039537.78
elizabeth-warren,S2MA00170,2026,15000,0,1062211.3,3772360.96
angus-king,S2ME00109,2022,99500,0,33400,138158.07
angus-king,S2ME00109,2024,1503928.51,5200,3261110.52,5368767
angus-king,S2ME00109,2026,22000,0,13360,48607.13
steve-daines,S2MT00096,2022,399025,0,693586.38,1944205.28
steve-daines,S2MT00096,2024,693800,0,460895.94,1682254.18
steve-daines,S2MT00096,2026,1352050,62000,1179432.34,4709051.07
kevin-cramer,S8ND00120,2022,281500,0,251848.17,566360.27
kevin-cramer,S8ND00120,2024,1783950,0,1882643.49,5562461.74
kevin-cramer,S8ND00120,2026,131500,0,340291.97,989847.21
deb-fischer,S2NE00094,2022,615895,0,421593.17,1238406.34
deb-fischer,S2NE00094,2024,2295535,52800,2363052.23,6555361.2
deb-fischer,S2NE00094,2026,285154.16,0,288776.33,683790.62
ted-cruz,S2TX00312,2022,68080.45,0,7350812.51,19404179.67
ted-cruz,S2TX00312,2024,1262520.07,5500,37722671.61,74050030.94
ted-cruz,S2TX00312,2026,364800,0,3636131.43,8266381.4
tim-kaine,S2VA00142,2022,230200,0,512678.47,2327307.23
tim-kaine,S2VA00142,2024,2112229.54,1000,6090136.4,18308453.68
tim-kaine,S2VA00142,2026,99858.5,0,265538.59,724073.43
cory-booker,S4NJ00185,2022,40250,0,1750743.04,6715393.45
cory-booker,S4NJ00185,2024,16510,0,1922219.24,7919520.16
cory-booker,S4NJ00185,2026,487530,0,4984307.34,17623906.52
ruben-gallego,S4AZ00139,2024,1784685.1,75650,32405329.46,64657199.96
ruben-gallego,S4AZ00139,2026,357662.83,0,1511137.35,3825377.22
dan-sullivan,S4AK00214,2022,143750,0,463369.22,705156.15
dan-sullivan,S4AK00214,2024,523850,0,840113.56,1893775.09
dan-sullivan,S4AK00214,2026,1398300,62000,2329258.8,6500847.42
joni-ernst,S4IA00129,2022,192958.88,0,709647.61,2035244.25
joni-ernst,S4IA00129,2024,696050,0,1366043.95,2921862.7
joni-ernst,S4IA00129,2026,637250,0,763432.68,1997585.68
thom-tillis,S4NC00162,2022,310634.02,0,363481.58,930819.86
thom-tillis,S4NC00162,2024,1053189.98,0,1316383.64,2474642.46
thom-tillis,S4NC00162,2026,1483500,0,2516410.02,4707959.82
mike-rounds,S4SD00049,2022,218000,0,75375.5,253085.24
mike-rounds,S4SD00049,2024,535150,0,319745.92,1084383.8
mike-rounds,S4SD00049,2026,1119800,62000,1104711,2646193.92
john-kennedy,S4LA00065,2022,1332064.68,0,16307196.87,34338881.57
john-kennedy,S4LA00065,2024,96175,0,6113741.31,15625987.97
john-kennedy,S4LA00065,2026,79850,0,3917701.47,8195849.16
maggie-hassan,S6NH00091,2022,3011186.05,56775,21892018.21,37045597.33
maggie-hassan,S6NH00091,2024,588433,0,1161783.3,2900607.97
maggie-hassan,S6NH00091,2026,438898.14,0,897920.74,1982475.86
catherine-cortez-masto,S6NV00200,2022,3053934.49,56200,32415198.48,60613860.94
catherine-cortez-masto,S6NV00200,2024,110020.34,1500,1274021.14,3281416.68
catherine-cortez-masto,S6NV00200,2026,189000,0,853375.22,1842748.74
lisa-blunt-rochester,S4DE00060,2024,2365766.13,0,3879607.98,9934497.35
lisa-blunt-rochester,S4DE00060,2026,239500,0,242815.56,849819.29
jim-banks,S4IN00196,2024,1432093.06,850,3229250.02,7337226.72
jim-banks,S4IN00196,2026,396769,0,623087.91,1867267.71
roger-marshall,S0KS00315,2022,177900,10000,291967.98,721930.77
roger-marshall,S0KS00315,2024,836819.62,0,338268.24,1474616.76
roger-marshall,S0KS00315,2026,1233250,62000,1344180.15,3331963.38
ted-budd,S2NC00505,2022,1440927.09,56000,7223562.6,14904162.55
ted-budd,S2NC00505,2024,506121.72,0,721942.05,2111873.54
ted-budd,S2NC00505,2026,201750,0,454869.71,1108350.93
jacky-rosen,S8NV00156,2022,512650,0,1699192.33,5739188.98
jacky-rosen,S8NV00156,2024,2574528.14,57800,21275258.36,43915245.2
jacky-rosen,S8NV00156,2026,123000,0,434285.35,1201412.28
john-curtis,S4UT00282,2024,2047722.96,0,2289182.01,5748063.58
john-curtis,S4UT00282,2026,326500,0,293162.39,622121.94
tina-smith,S8MN00578,2022,165499,0,614645.72,1543714.66
tina-smith,S8MN00578,2024,303750,0,769480.75,1464674.23
tina-smith,S8MN00578,2026,23000,0,11683.55,48581.55
cindy-hyde-smith,S8MS00261,2022,103650,1043.65,409461.74,882282.65
cindy-hyde-smith,S8MS00261,2024,249900,0,431099.39,750573.65
cindy-hyde-smith,S8MS00261,2026,995050,62000,1615291.37,3394174.57
elissa-slotkin,S4MI00470,2024,1198586.65,58507.15,29741707.4,51937060.2
elissa-slotkin,S4MI00470,2026,13000,0,1535239.36,4378578.6
andy-kim,S4NJ00466,2024,725533.82,0,8254464.66,12441003.62
andy-kim,S4NJ00466,2026,62005.01,0,876592.36,1355762.79
rick-scott,S8FL00273,2022,56000,0,1188868.86,8153582.56
rick-scott,S8FL00273,2024,991223.07,52800,3327272.91,36696093.1
rick-scott,S8FL00273,2026,68250,0,207651.08,1458779.64
josh-hawley,S8MO00160,2022,48500,500,4794564.17,11477018.76
josh-hawley,S8MO00160,2024,397882.21,1900,4121024.4,13808806.06
josh-hawley,S8MO00160,2026,20500,0,234633.45,1518950.76
mark-kelly,S0AZ00350,2022,1477485.09,51200,47574805.44,92771344.07
mark-kelly,S0AZ00350,2024,54096.92,0,4355349.6,10864653.95
mark-kelly,S0AZ00350,2026,20500,0,11259279.2,35276811.97
cynthia-lummis,S0WY00137,2022,124667.57,0,172167.5,419107.34
cynthia-lummis,S0WY00137,2024,405684.83,0,241310.95,805805.6
cynthia-lummis,S0WY00137,2026,697132.24,62000,320350.97,1493103.64
tommy-tuberville,S0AL00230,2022,232850,0,546344.97,1077554.32
tommy-tuberville,S0AL00230,2024,324300,0,1163376.71,2191049.2
tommy-tuberville,S0AL00230,2026,127500,0,191245.15,724606.1
john-hickenlooper,S0CO00575,2022,69309.5,0,421202.26,1005916.94
john-hickenlooper,S0CO00575,2024,113500,0,720093.71,1160079.25
john-hickenlooper,S0CO00575,2026,765467.77,62000,3807354.17,6818283.07
bill-hagerty,S0TN00169,2022,630549.2,1000,2119362.68,3898661.75
